Kompanija,Vaistu pavadinimas,Kiekis,Iprastine kaina,Kaina su nuolaida
SWANSON ,"berberinas, natūralus, kapsulės, N",60,,
ŠVF PERŠALIMO,"PERŠALIMO SEZONUI. ežiuolė mikrogranulėse, kapsulės, N",45,,
NOW Pau,Pau D'Arco 500 mg,100,,
NOW Pau,Pau D'Arco 500 mg,250,,
WALMARK,"MARSIEČIAI GUMINUKAI, komplektas su laikroduku, 2xN",50,,
SWANSON,"LION'S MANE (Liūto Karčiai), 500 mg,",60,,
RAW POWDERS,"POWDERS GOTU KOLA, 475 mg,",90,,
RAW POWDERS,"POWDERS MULTIVITAMINAI IR MINERALAI,",90,,
Masažinis,"aliejus su vitaminais,",500,,
CALCI,"STRONG + D3 + MG,",150,,
SAVAIMINIO,"ĮDEGIO DULKSNA, SKAIDRI, MEDIUM,",200,,
MARTIDERM,"PROTEOS HYDRA PLUS SPF, drėkinamosios ir stangrinamosios veido ampulės su vitaminu C, proteoglikanais ir SPF15,",10,,
MARTIDERM,"PROTEOS HYDRA PLUS, drėkinamosios ir stangrinamosios veido ampulės su vitaminu C ir proteoglikanais,",10,,
CANPOL,"BABIES LUX, liemenėlė maitinančioms, 85C dydis, 26/",761,,
CANPOL,"BABIES LUX, liemenėlė maitinančioms, 80C dydis, 26/",760,,
PLACENTA,"VITAE, ŠAMPŪNAS NUO GELTONŲ ATSPALVIŲ,",250,,
YOU&OIL,VITAMININIS VEIDO SERUMAS. MAITINIMAS IR ENERGIJA VISŲ TIPŲ ODAI,30,,
IRON+VITAMINS,"B&C, LIFEPLAN, geležies kompleksas,",150,,
LR wonder,wonder company drėkinamasis veido gelis su vitaminu E,30,,
SESDERMA,"SES-MEDICAL, gaivinamoji kaukė su vit.C lakštinė,",1,,
Tonymoly,"I'm Real lakštinė vitaminų veido kaukė Acerola,",21,,
Tonymoly,"Vital Vita 12 raminamasis veido serumas ampulėje Calming,",30,,
Tonymoly,"Vital Vita 12 stiprus stangrinamasis veido serumas su vitaminu A Firming,",30,,
LANVIN,"ECLAT D'ARPEGE, parfumuotas vanduo moterims,",100,,
Dr. Brandt ,"Brandt, Putlinantis, lyginamasis, kontūrą išryškinantis lūpų balzamas 3-D LIP PLUMPFIX. 0.155 oz. / 4.",4,,
SUPER,"CLASSICO, apsauginiai ausų kamštukai, 35dB,",2,,
Casmara,Power Lift 4D Super Concentrate/super koncentratas,30,,
Casmara,Vitamin Tan Optimizer SPF 50 – sausas aliejus kūnui,200,,
DENMAN,D3 Original Styler,7,,
DENMAN,D4 Original Styler,9,,
DENMAN,D14 Mini Styler,4,,
DENMAN,D,83,,
DENMAN,D,91,,
DENMAN,D,200,,
DENMAN,D,200,,
DENMAN,D,81,,
DENMAN,D,82,,
DENMAN,D,93,,
DENMAN,D,93,,
DENMAN,D,17,,
DENMAN,D,27,,
HAIRTWO,"purškiamas plaukų serumas 3D BIO-BOOST, 100 ml+specialus purkštuvas,",1,,
Proteinas,PhD Diet Whey,1,,
Proteinas,PhD Diet Whey,1,,
Proteinas,PhD Diet Whey,2,,
Proteinas,PhD Diet Whey,2,,
Riebalų,degintojas PhD Burn Pre-WKT Rūgščių Obuolių Skonio,200,,
Riebalų,degintojas PhD Burn Pre-WKT Sherbeto Citrinos Skonio,200,,
Energetinis,gėrimas prieš treniruotę PhD Charge Pre Workout,300,,
Energetinis,gėrimas prieš treniruotę PhD Charge Pre Workout,300,,
Protinei,veiklai gerinti PhD Life Mind Powder Mėlynųjų Aviečių,300,,
Protinei,veiklai gerinti PhD Life Mind Powder Tropinių vaisių,300,,
Sąnariams,ir kaulams PhD Life Move Powder Mangų ir Paciforos Skonio,360,,
Amino,rūgštys PhD All Day EAA,300,,
Amino,rūgštys PhD All Day EAA,300,,
Amino,rūgštys PhD All Day EAA,300,,
Amino,rūgštys PhD All Day EAA,300,,
Amino,rūgštys PhD Plant BCAA,450,,
Amino,rūgštys PhD Plant BCAA,450,,
Amino,rūgštys PhD Plant BCAA,450,,
Glutaminas,PhD Micronised L-Glutamine,250,,
Kreatinas,PhD Micronised Creatine,250,,
L-Karnitinas,PhD L-Carnitine,90,,
D-LAB,"Kapsulės, odos regeneraciją skatinantis maisto papildas",56,,
D-LAB,"Kapsulės, odą skaistinantis maisto papildas",56,,
ELGON,"LINK-D BOND BUILDER Nr. 0, plaukus atkuriantis šampūnas,",250,,
NOW Methyl,Methyl B-12 1000mcg,100,,
RAW POWDERS,"POWDERS D-ASPARTAMO RŪGŠTIES milteliai,",100,,
Cellucor,C4 Original,195,,
Cellucor,C4 Original,195,,
RAW POWDERS,"POWDERS D-MANOZĖ 500 mg,",90,,
RAW POWDERS,"POWDERS D-MANOZĖS milteliai,",100,,
SWANSON ,"VITAMINAS B12, kapsulės, N",100,,
SESDERMA,"C-VIT, drėkinamasis veido kremas,",50,,
BIODERMA,"PIGMENTBIO C-CONCENTRATE, šviesinamasis serumas,",15,,
VITAMIN,"B12-LOGES, 1000 mikrogramų/2 ml, injekcinis tirpalas, N",50,,
D-CURE,"FORTE, 100000 TV, geriamasis tirpalas, (l.imp), 1 ml, N",3,,
ACORUS,"BALANCE MAGNESIUM + VIT B6 LIPOSOMAL SHOTS, geriamasis tirpalas, 25 ml, N",14,,
GAMTOS,"NAMAI SUPER CAL500 MG 250 ZINC15 SU VITAMINU D3,",90,,
Pierre,Cardin veido ser.,30,,
ECOSH ,"bioaktyvus magnis su vitaminu B6,",90,,
SWANSON,"KORALŲ KALCIS, su vitaminu D3 ir magniu,",90,,
AVENE,"VITAMIN ACTIVE CG, skaistinamasis veido kremas,",50,,
AVENE,"VITAMIN ACTIVE CG, skaistinamasis serumas,",30,,
RAW POWDERS,"POWDERS BIOTINAS (VITAMINAS B7), 10 mg,",90,,
EQUA,"gertuvė MISMATCH 217 BLACK 750 ml, stiklinė,",1,,
EQUA,"gertuvė MISMATCH SILVER 750ML,",1,,
EQUA,"gertuvė MISMATCH CHOCOLATE NIGHT 750 ml,",1,,
EQUA,"gertuvė STARDUST INFINITY, stiklinė,",1,,
LIFEPLAN,"EXTRAVITS, multivitaminų kompleksas,",90,,
MODUS ,,30,,
ROYAL,"GREEN BIO GELEŽIES KOMPLEKSAS,",60,,
DISPOGLOVE,"Prausimosi pirštinė,",50,,
LIFEPLAN,"BIOTINAS 2,5 mg tabletės N30 (geriausias iki 2022-08-",31,,
Spirulina,"tabletės,",180,,
Juodųjų,"serbentų milteliai,",170,,
DISPOGLOWE,"PLUS, Pirštinės prausimosi",20,,
DISPOFARMA ,"Šluostė prausimosi su ramunėlių ir kalendros ekstaktu,",30,,
EQUA,"išmanioji termo gertuvė SMART DARK GREY, nerūdijantis plienas,",1,,
EQUA,"išmanioji termo gertuvė SMART PINK BLUSH, nerūdijantis plienas,",1,,
EQUA,"termo gertuvė TERMO DARK GREY, nerūdijantis plienas,",1,,
EQUA,"gertuvė MISMATCH LAVA, stiklas,",1,,
MARTIDERM,"Lūpas putlinantis, užpildantis, kontūrą koreguojantis balzamas LIP SUPREME BALM, 4,",5,,
FORTIVITUM,"purškiamas maisto papildas MULTIVITAMINAS, 13.",5,,
FORTIVITUM,"purškiamas maisto papildas ENERGIJA, 13.",5,,
HairBurst,"maisto papildai plaukams vyrams,",60,,
COD LIVER,"LIVER OIL 1000mg, LIFEPLAN, menkių kepenų aliejus,",60,,
NOW Ekologiška,Ekologiška Spirulina 500mg,100,,
Dr. Brandt ,"Brandt, Raminamasis raudonį malšinantis veido kremas su kanapinių sativa sėklų aliejumi COOL BIOTIC. 1.764 oz. /",50,,
URBAN,"FOOD milteliai MOLIŪGŲ MILTELIAI - EKOLOGIŠKI,",100,,
URBAN,"FOOD milteliai AVIEČIŲ MILTELIAI - EKOLOGIŠKI,",100,,
URBAN,"FOOD milteliai BRAŠKIŲ MILTELIAI - EKOLOGIŠKI,",50,,
Natūralus,augalinis simondsijų aliejus,50,,
Casmara,ANTIOKSIDANTINĖ NULUPAMA JŪROS DUMBLIŲ KAUKĖ,0,,
GREENGY,"energiniai batonėliai su migdolo riešutais, saldžiavaisiu pupmedžiu ir datulėmis, 12 x",26,,
Casmara,LUXURY REVITALIZING NOURISHING CREAM/PRABANGUS GAIVINAMASIS MAITINANTIS KREMAS,50,,
YOPE,"natūralus drėkinantis skystas muilas su TGA formule, ""Šalavijas ir Žalieji ikrai"",",500,,
Casmara,VITALIZING ALGAE PEEL-OFF MASK PREMIUM – ATGAIVINANTI NULUPAMA JŪROS DUMBLŲ KAUKĖ,0,,
Casmara,VITALIZING ENERGIZING MOISTURIZING CREAM – ENERGIZUOJANTIS DRĖKINANTIS KREMAS,50,,
EARTH,"LINE ACEQ10 Anti-Age 30+ Dieninis ir naktinis kremas, drėkinantis, maitinantis",50,,
Lūpų,"daž. Golden Rose Satin 4,2g Nr.",6,,
Lūpų,"daž. Golden Rose Satin 4,2g Nr.",9,,
Lūpų,"daž. Golden Rose Satin 4,2g Nr.",18,,
Rooibos,Latte arbata besilaukiančioms mamoms,0,,
Yunsey,Miško uogų aromato dvifazis purškiklis,100,,
HAIRTWO,,4,,
MARTIDERM,"veido ampulės FORMULA Nº10 HD Color Touch SPF30, 10 ampulių/",2,,
MARTIDERM,"SUBALANSUOJANTIS VEIDO TONIKAS BALANCING TONER,",200,,
LR wonder,wonder company lūpų balzamas saugantis pūslelinės ir skilinėjimo. 4.,5,,
Golden,"Rose lūpų sviestas Blueberry SPF 15,",8,,
Golden,"Rose lūpų sviestas Ice mint SPF 15,",8,,
Golden,"Rose lūpų sviestas Raspberry SPF 15,",8,,
Golden,"Rose lūpų sviestas Strawberry SPF 15,",8,,
EQUA,"gertuvė SAND 600 ml, plastikinė,",1,,
EQUACARE,Kūno ir namų rinkinys,0,,
EQUACARE,Duetas kūnui,0,,
EQUACARE,Rankų prausiklio rinkinys,0,,
EQUA,"gertuvė MISMATCH HEAVENS, stiklinė,",1,,
EQUA,"gertuvė PUFFY CREAM, stiklinė,",1,,
EQUA,"gertuvė PUFFY BLACK, stiklinė,",1,,
EQUA,"gertuvė ETERNITY, stiklinė,",1,,
EQUA,"gertuvė ACTIVE BERRY, stiklinė,",1,,
EQUA,"gertuvė TIMELESS DARK 600 ml.,",1,,
EQUA,"termo gertuvė TERMO EMPOWERED, nerūdijantis plienas,",1,,
Olimp,BCAA Xplode Apelsinų Skonio Milteliai,500,,
Olimp,BCAA Xplode Vaisių Punšo Skonio Milteliai,500,,
Olimp,Glutamine Xplode milteliai Apelsinų skonio,500,,
Olimp,Glutamine Xplode milteliai Citrinų skonio,500,,
Olimp,Glutamine Xplode milteliai Ananasų skonio,500,,
RAW POWDERS,"POWDERS MACA ŠAKNIES 10:1 EKSTRAKTAS, 5000 mg,",120,,
URBAN,"FOOD milteliai AVIEČIŲ MILTELIAI - EKOLOGIŠKI,",50,,
